初始资金,品种,交易方向,交易指标,持仓周期,最终资金,交易次数,获利次数,亏损次数,胜率,平均盈利,单次交易最大盈利,单次交易最大亏损,持仓内最大盈利,持仓内最大回撤
4000,甲醇主力,做多,4日均线上穿9日均线,1,4820,53,29,24,54.71698113207547,35.471698113207545,700,-750,1370,-930
4000,甲醇主力,做多,4日均线上穿9日均线,2,2040,53,26,27,49.056603773584904,-16.9811320754717,880,-1230,1440,-1230
4000,甲醇主力,做多,4日均线上穿9日均线,3,2320,53,23,30,43.39622641509434,-11.69811320754717,2340,-1690,2370,-1760
4000,甲醇主力,做多,4日均线上穿9日均线,5,20,53,28,25,52.83018867924528,-55.094339622641506,2480,-2100,2650,-3070
4000,甲醇主力,做多,4日均线上穿9日均线,7,-2040,53,28,25,52.83018867924528,-93.9622641509434,1670,-2630,2650,-3070
4000,甲醇主力,做多,4日均线上穿9日均线,10,1740,53,25,28,47.16981132075472,-22.641509433962263,2960,-2320,3660,-3070
4000,甲醇主力,做多,4日均线上穿18日均线,1,4480,32,17,15,53.125,35.0,1060,-620,1060,-670
4000,甲醇主力,做多,4日均线上穿18日均线,2,1270,31,15,16,48.38709677419355,-68.06451612903226,1940,-1370,2870,-1700
4000,甲醇主力,做多,4日均线上穿18日均线,3,-30,31,14,17,45.16129032258064,-110.0,2250,-1950,2870,-2050
4000,甲醇主力,做多,4日均线上穿18日均线,5,-3990,31,11,20,35.483870967741936,-237.74193548387098,1510,-2020,2870,-2600
4000,甲醇主力,做多,4日均线上穿18日均线,7,-2440,31,14,17,45.16129032258064,-187.74193548387098,1590,-2790,2870,-3080
4000,甲醇主力,做多,4日均线上穿18日均线,10,-3220,31,14,17,45.16129032258064,-212.90322580645162,1800,-2740,2870,-3400
4000,甲醇主力,做多,9日均线上穿18日均线,1,4340,25,15,10,60.0,33.6,790,-780,1000,-940
4000,甲醇主力,做多,9日均线上穿18日均线,2,1780,25,10,15,40.0,-68.8,880,-760,1020,-1050
4000,甲醇主力,做多,9日均线上穿18日均线,3,1420,25,12,13,48.0,-83.2,1700,-1200,1700,-1250
4000,甲醇主力,做多,9日均线上穿18日均线,5,-4480,25,8,17,32.0,-319.2,1370,-1620,2170,-1790
4000,甲醇主力,做多,9日均线上穿18日均线,7,-2240,25,6,19,24.0,-229.6,2140,-1850,2730,-2190
4000,甲醇主力,做多,9日均线上穿18日均线,10,-590,25,12,13,48.0,-163.6,1780,-1930,2730,-3000
4000,甲醇主力,做多,4日均线同时上穿9日、18日均线,1,3500,6,2,4,33.33333333333333,-63.333333333333336,350,-370,490,-660
4000,甲醇主力,做多,4日均线同时上穿9日、18日均线,2,3600,6,2,4,33.33333333333333,-46.666666666666664,380,-410,520,-750
4000,甲醇主力,做多,4日均线同时上穿9日、18日均线,3,3090,6,2,4,33.33333333333333,-131.66666666666666,650,-660,700,-750
4000,甲醇主力,做多,4日均线同时上穿9日、18日均线,5,2630,6,2,4,33.33333333333333,-208.33333333333334,500,-930,870,-1150
4000,甲醇主力,做多,4日均线同时上穿9日、18日均线,7,2900,6,3,3,50.0,-163.33333333333334,810,-1620,1200,-2020
4000,甲醇主力,做多,4日均线同时上穿9日、18日均线,10,3570,6,3,3,50.0,-51.666666666666664,1800,-1940,2240,-2020
4000,甲醇主力,做多,一阳穿3线,1,3320,25,11,14,44.0,-7.2,1020,-500,1020,-680
4000,甲醇主力,做多,一阳穿3线,2,3880,25,14,11,56.00000000000001,15.2,1280,-850,1490,-900
4000,甲醇主力,做多,一阳穿3线,3,3060,25,16,9,64.0,-17.6,880,-1740,1490,-1740
4000,甲醇主力,做多,一阳穿3线,5,2610,25,14,11,56.00000000000001,-35.6,1460,-1890,2050,-1990
4000,甲醇主力,做多,一阳穿3线,7,2460,25,11,14,44.0,-41.6,1450,-1610,2050,-2400
4000,甲醇主力,做多,一阳穿3线,10,8600,25,16,9,64.0,204.0,1800,-2090,2240,-3400
4000,甲醇主力,做空,4日均线下破9日均线,1,3440,67,34,33,50.74626865671642,11.64179104477612,1160,-1310,1320,-1580
4000,甲醇主力,做空,4日均线下破9日均线,2,3190,67,37,30,55.223880597014926,7.91044776119403,1060,-1770,1320,-1770
4000,甲醇主力,做空,4日均线下破9日均线,3,740,67,31,36,46.26865671641791,-28.65671641791045,1860,-2030,1860,-2240
4000,甲醇主力,做空,4日均线下破9日均线,5,-1180,67,29,38,43.28358208955223,-57.3134328358209,1970,-2470,2790,-2630
4000,甲醇主力,做空,4日均线下破9日均线,7,3270,67,34,33,50.74626865671642,9.104477611940299,2900,-1910,2900,-2800
4000,甲醇主力,做空,4日均线下破9日均线,10,3120,67,32,35,47.76119402985074,6.865671641791045,4390,-3040,4570,-3160
4000,甲醇主力,做空,4日均线下破18日均线,1,-170,32,11,21,34.375,-110.3125,920,-800,950,-830
4000,甲醇主力,做空,4日均线下破18日均线,2,-5620,32,11,21,34.375,-280.625,790,-1770,1170,-1770
4000,甲醇主力,做空,4日均线下破18日均线,3,-7110,32,9,23,28.125,-327.1875,1150,-2630,1170,-3560
4000,甲醇主力,做空,4日均线下破18日均线,5,-5790,32,12,20,37.5,-285.9375,2920,-2470,3020,-3560
4000,甲醇主力,做空,4日均线下破18日均线,7,-300,32,14,18,43.75,-114.375,3890,-2280,4070,-3560
4000,甲醇主力,做空,4日均线下破18日均线,10,-920,32,15,17,46.875,-133.75,4170,-3040,4400,-3560
4000,甲醇主力,做空,9日均线下破18日均线,1,2740,26,8,18,30.76923076923077,-28.46153846153846,1510,-800,1510,-830
4000,甲醇主力,做空,9日均线下破18日均线,2,1520,26,12,14,46.15384615384615,-75.38461538461539,2030,-1770,2130,-1770
4000,甲醇主力,做空,9日均线下破18日均线,3,-1440,26,10,16,38.46153846153847,-189.23076923076923,2050,-2030,2580,-2240
4000,甲醇主力,做空,9日均线下破18日均线,5,-3640,26,9,17,34.61538461538461,-273.84615384615387,2730,-2470,3180,-2630
4000,甲醇主力,做空,9日均线下破18日均线,7,2190,26,10,16,38.46153846153847,-49.61538461538461,3280,-2950,3510,-2980
4000,甲醇主力,做空,9日均线下破18日均线,10,2620,26,10,16,38.46153846153847,-33.07692307692308,3860,-2540,4210,-3260
4000,甲醇主力,做空,4日均线同时下破9、18日均线,1,2400,5,0,5,0.0,-300.0,-10,-800,610,-830
4000,甲醇主力,做空,4日均线同时下破9、18日均线,2,2470,5,3,2,60.0,-286.0,770,-1770,930,-1770
4000,甲醇主力,做空,4日均线同时下破9、18日均线,3,1600,5,2,3,40.0,-460.0,750,-2030,1040,-2240
4000,甲醇主力,做空,4日均线同时下破9、18日均线,5,960,5,2,3,40.0,-588.0,1210,-2470,1630,-2630
4000,甲醇主力,做空,4日均线同时下破9、18日均线,7,4300,5,3,2,60.0,80.0,1500,-1220,2040,-2800
4000,甲醇主力,做空,4日均线同时下破9、18日均线,10,4020,5,2,3,40.0,24.0,1480,-1050,2040,-2800
4000,甲醇主力,做空,一阴穿3线,1,3160,19,8,11,42.10526315789473,-24.210526315789473,480,-1210,660,-1250
4000,甲醇主力,做空,一阴穿3线,2,5580,19,14,5,73.68421052631578,103.15789473684211,1780,-1260,1780,-1400
4000,甲醇主力,做空,一阴穿3线,3,3040,19,7,12,36.84210526315789,-30.526315789473685,2300,-1390,2400,-1720
4000,甲醇主力,做空,一阴穿3线,5,-3110,19,5,14,26.31578947368421,-354.2105263157895,3270,-2050,3450,-2260
4000,甲醇主力,做空,一阴穿3线,7,-7510,19,3,16,15.789473684210526,-585.7894736842105,2620,-3220,3450,-3840
4000,甲醇主力,做空,一阴穿3线,10,-7620,19,5,14,26.31578947368421,-591.578947368421,3900,-3040,4480,-3840
